leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASSE,3,1,0,0,2,0,2
2,BORDEAUX,4,1,1,0,2,0,2
3,AS MONACO,7,2,1,0,5,3,2
4,MONTPELLIER,9,3,0,1,10,5,5
5,MONTPELLIER,10,3,1,1,12,7,5
6,RC LENS,13,4,1,1,10,6,4
7,RENNES,15,4,3,0,15,8,7
8,RENNES,15,4,3,1,16,10,6
9,RENNES,18,5,3,1,18,11,7
10,RENNES,18,5,3,2,18,14,4
11,OM,21,6,3,2,15,11,4
12,LOSC,23,6,5,1,22,8,14
13,LOSC,26,7,5,1,24,9,15
14,OL,29,8,5,1,25,11,14
15,OL,30,8,6,1,27,13,14
16,PARIS SG,32,10,2,4,35,10,25
17,PARIS SG,35,11,2,4,39,10,29
18,LOSC,36,10,6,2,32,14,18
19,LOSC,39,11,6,2,33,14,19
20,OL,40,11,7,2,39,19,20
21,OL,43,12,7,2,44,19,25
22,PARIS SG,45,14,3,5,50,14,36
23,PARIS SG,48,15,3,5,53,14,39
24,PARIS SG,51,16,3,5,55,14,41
25,OL,52,15,7,3,51,22,29
26,PARIS SG,54,17,3,6,57,17,40
27,OL,56,16,8,3,55,25,30
28,OL,59,17,8,3,56,25,31
29,OL,60,17,9,3,57,26,31
30,OL,60,17,9,4,59,30,29
31,AS MONACO,62,19,5,7,64,38,26
32,AS MONACO,65,20,5,7,67,38,29
33,AS MONACO,68,21,5,7,70,38,32
34,AS MONACO,71,22,5,7,71,38,33
35,AS MONACO,71,22,5,8,73,41,32
36,AS MONACO,74,23,5,8,74,41,33
37,AS MONACO,77,24,5,8,76,42,34
38,AS MONACO,78,24,6,8,76,42,34
